作品名,アニメ情報,現在部数,なろうランク,出版社,ステータス,メモ
超人高校生たちは異世界でも余裕で生き抜くようです！,1期放送済,"1,000,000",,GA文庫,,
トリニティ・ブラッド,1期放送済,"1,000,000",,角川スニーカー文庫,,
のうりん,1期放送済,"1,000,000",,GA文庫,,
聖剣使いの禁呪詠唱,1期放送済,"1,000,000",,GA文庫,,
這いよれ！ニャル子さん,2期放送済,"1,000,000",,GA文庫,,
探偵はもう、死んでいる。,2期決定(放送日未定),"1,000,000",,MF文庫J,,
異世界に飛ばされたおっさんは何処へ行く？,未定,"1,000,000",,アルファポリス,,
史上最強オークさんの楽しい種付けハーレムづくり,未定,"1,000,000",,美少女文庫,,
最強出涸らし皇子の暗躍帝位争い,未定,"1,000,000",25,HJ文庫,,
いずれ最強の錬金術師？,未定,"1,000,000",,アルファポリス,,
異世界でスローライフを（願望）,未定,"1,000,000",84,アルファポリス,,
天命探偵シリーズ,未定,"950,000",,,,
ブラック・ブレット,1期放送済,"950,000",,,,
聖女じゃなかったので、王宮でのんびりご飯を作ることにしました,未定,"950,000",197,,,
転生貴族、鑑定スキルで成り上がる～弱小領地を受け継いだので、優秀な人材を増やしていたら、最強領地になってた～,2024年4月,"900,000",83,,,
詐騎士,未定,"900,000",,,,
溺あま御曹司は甘ふわ女子にご執心,未定,"900,000",,,,
俺の現実は恋愛ゲーム??　～かと思ったら命がけのゲームだった～,未定,"900,000",,,,
魔技科の剣士と召喚魔王,未定,"900,000",,,,
怪盗探偵山猫,未定,"900,000",,,,
成長チートでなんでもできるようになったが、無職だけは辞められないようです,未定,"900,000",154,,,
地味な剣聖はそれでも最強です,未定,"880,000",,,,
僕僕先生,未定,"850,000",,,,
探偵・日暮旅人,未定,"850,000",,,,
歴史に残る悪女になるぞ,未定,"850,000",132,,,
継母の連れ子が元カノだった,1期放送済,"850,000",,,,
我が家のお稲荷さま。,1期放送済,"820,000",,,,
ミカグラ学園組曲,1期放送済,"820,000",,,,
今度は絶対に邪魔しませんっ！,未定,"800,000",49,,,
悲劇の元凶となる最強外道ラスボス女王は民の為に尽くします。,未定,"800,000",98,,,
解雇された暗黒兵士（30代）のスローなセカンドライフ,1期決定(2023年1月),"800,000",,,,
余命10年,未定,"800,000",,,,
農民関連のスキルばっか上げてたら何故か強くなった。,1期放送中,"800,000",,,,
妹に婚約者を譲れと言われました　最強の竜に気に入られてまさかの王国乗っ取り？,未定,"800,000",,,,
豚公爵に転生したから、今度は君に好きと言いたい,未定,"800,000",,,,
なんちゃってシンデレラ,未定,"800,000",,,,
マリエル・クララックの婚約,未定,"800,000",,,,
自称！平凡魔族の英雄ライフ,未定,"800,000",,,,
チート薬師のスローライフ,1期放送済,"800,000",,,,
竜騎士のお気に入り,未定,"800,000",,,,
浅草鬼嫁日記,未定,"800,000",,,,
宝石商リチャード氏の謎鑑定,1期放送済,"800,000",,,,
宮廷神官物語,未定,"800,000",,,,
また、同じ夢を見ていた,未定,"800,000",,,,
通常攻撃が全体攻撃で二回攻撃のお母さんは好きですか？,1期放送済,"800,000",,,,
俺の脳内選択肢が、学園ラブコメを全力で邪魔している,1期放送済,"800,000",,,,
強くてニューサーガ,未定,"800,000",,,,
出来損ないと呼ばれた元英雄は、実家から追放されたので好き勝手に生きることにした,未定,"800,000",,,,
猫と竜,未定,"800,000",,,,
目覚めたら最強装備と宇宙船持ちだったので、一戸建て目指して傭兵として自由に生きたい,未定,"800,000",106,,,
最凶の支援職【話術士】である俺は世界最強クランを従える,未定,"800,000",137,,,
ねじ巻き精霊戦記 天鏡のアル デラミン,1期放送済,"780,000",,,,
淡海乃海 水面が揺れる時　～三英傑に嫌われた不運な男、朽木基綱の逆襲～,未定,"750,000",,,,
俺の家が魔力スポットだった件　～住んでいるだけで世界最強～,未定,"750,000",,,,
塔の管理をしてみよう,未定,"750,000",,,,
お女ヤン!!　イケメン☆ヤンキー☆パラダイス,未定,"750,000",,,,
Sランクモンスターの≪ベヒーモス≫だけど、猫と間違われてエルフ娘の騎士(ペット)として暮らしてます,未定,"750,000",,,,
「攻略本」を駆使する最強の魔法使い　～〈命令させろ〉とは言わせない俺流魔王討伐最善ルート～,未定,"750,000",,,,
世界でただ一人の魔物使い　～転職したら魔王に間違われました～,未定,"750,000",,,,
ゲーマーズ！,1期放送済,"750,000",,,,
七つの魔剣が支配する,1期決定（放送日未定）,"750,000",,,,
リビルドワールド,未定,"750,000",,,,
効率厨魔導師、第二の人生で魔導を極める,未定,"730,000",,,,
ワールド・カスタマイズ・クリエーター,未定,"720,000",,,,
のんびりVRMMO記,24年1期予定,"720,000",,,,
終焉ノ栞,未定,"710,000",,,,
モンスターがあふれる世界になったので、好きに生きたいと思います,未定,"700,000",42,,,
ニートだけどハロワにいったら異世界につれてかれた,未定,"700,000",86,,,
私この度、王国騎士団独身寮の家政婦をすることになりました,未定,"700,000",,,,
落第賢者の学院無双　～二度転生した最強賢者、400年後の世界を魔剣で無双～,未定,"700,000",,,,
村人転生　最強のスローライフ,未定,"700,000",,,,
異世界召喚は二度目です,1期決定（放送日未定）,"700,000",,,,
29歳独身は異世界で自由に生きた……かった。,未定,"700,000",,,,
君は月夜に光り輝く,未定,"700,000",,,,
ケーキ王子の名推理,未定,"700,000",,,,
ベン・トー,1期放送済,"700,000",,,,
ちょっと今から仕事やめてくる,未定,"700,000",,,,
異世界料理道,未定,"700,000",250,,,
最強魔法師の隠遁計画,未定,"700,000",,,,
なぜ僕の世界を誰も覚えていないのか？,未定,"700,000",,,,
ヴァイオレット・エヴァーガーデン,1期放送済,"700,000",,,,
完全回避ヒーラーの軌跡,未定,"670,000",,,,
獣医さんのお仕事 in 異世界,未定,"670,000",,,,
転生しちゃったよ（いや、ごめん）,未定,"660,000",,,,
嘆きの亡霊は引退したい　〜最弱ハンターは英雄の夢を見る〜,未定,"650,000",54,,,
最強の魔導士。ひざに矢をうけてしまったので田舎の衛兵になる,未定,"650,000",138,,,
最強タンクの迷宮攻略,未定,"650,000",296,,,
異世界転移したのでチートを生かして魔法剣士やることにする,未定,"650,000",,,,
警視庁捜査一課十一係,未定,"650,000",,,,
最後にひとつだけお願いしてもよろしいでしょうか,未定,"650,000",,,,
小説 天気の子,未定,"650,000",,,,
竜殺しの過ごす日々,未定,"650,000",,,,
転生王子はダラけたい,未定,"650,000",,,,
ゼロから始める魔法の書,1期放送済,"620,000",,,,
貴族転生～恵まれた生まれから最強の力を得る,未定,"600,000",41,,,
この世界がゲームだと俺だけが知っている,未定,"600,000",126,,,
役立たずスキルに人生を注ぎ込み25年、今さら最強の冒険譚,未定,"600,000",162,,,
アルバート家の令嬢は没落をご所望です,未定,"600,000",178,,,
魔石グルメ　～魔物の力を食べたオレは最強！～,未定,"600,000",202,,,
外れスキル「影が薄い」を持つギルド職員が、実は伝説の暗殺者,未定,"600,000",246,,,
家政魔導士の異世界生活　～冒険中の家政婦業承ります！～,未定,"600,000",,,,
悪役令嬢の追放後！　教会改革ごはんで悠々シスター暮らし,未定,"600,000",,,,
史上最強の魔法剣士、Fランク冒険者に転生する　～剣聖と魔帝、2つの前世を持った男の英雄譚～,未定,"600,000",,,,
ドS刑事,未定,"600,000",,,,
化学探偵Mr.キュリー,未定,"600,000",,,,
0能者ミナト,未定,"600,000",,,,
商人勇者は異世界を牛耳る！　～栽培スキルでなんでも増やしちゃいます～,未定,"600,000",,,,
マジカル★エクスプローラー　エロゲの友人キャラに転生したけど、ゲーム知識使って自由に生きる,未定,"600,000",63,,,
魔法少女育成計画,1期放送済,"600,000",,,,
サクラダリセット,1期放送済,"600,000",,,,
なれる！SE,未定,"600,000",,,,
公女殿下の家庭教師,未定,"600,000",,,,
義妹生活,1期決定（放送日未定）,"600,000",,,,
僕の部屋がダンジョンの休憩所になってしまった件,未定,"590,000",,,,
マギクラフト・マイスター,未定,"580,000",130,,,
じい様が行く　『いのちだいじに』異世界ゆるり旅,未定,"580,000",,,,
境界迷宮と異界の魔術師,未定,"560,000",164,,,
優しい死神の飼い方,未定,"550,000",,,,
ワケあり生徒会！,未定,"550,000",,,,
准教授・高槻彰良の推察,未定,"550,000",,,,
脳漿炸裂ガール,未定,"550,000",,,,
魔導師は平凡を望む,未定,"550,000",233,,,
非オタの彼女が俺の持ってるエロゲに興味津々なんだが……,未定,"550,000",,,,
魔拳のデイドリーマー,未定,"550,000",,,,
物語の中の人,未定,"530,000",,,,
異世界でカフェを開店しました。,未定,"530,000",,,,
スープ屋しずくの謎解き朝ごはん,未定,"520,000",,,,
君にさよならを言わない,未定,"520,000",,,,
冒険者になりたいと都に出て行った娘がSランクになってた,未定,"500,000",115,,,
うちの娘の為ならば、俺はもしかしたら魔王も倒せるかもしれない 。,1期放送済,"500,000",219,,,
地味で目立たない私は、今日で終わりにします。,未定,"500,000",222,,,
おっさん冒険者ケインの善行,未定,"500,000",252,,,
新米オッサン冒険者、最強パーティに死ぬほど鍛えられて無敵になる。,未定,"500,000",,,,
魔弾の王と凍漣の雪姫,未定,"500,000",,,,
その劣等騎士、レベル999,未定,"500,000",,,,
千剣の魔術師と呼ばれた剣士,未定,"500,000",,,,
大公妃候補だけど、堅実に行こうと思います,未定,"500,000",,,,
ツンデレ悪役令嬢リーゼロッテと実況の遠藤くんと解説の小林さん,1期決定(2023年1月),"500,000",,,,
引きこもり令嬢は話のわかる聖獣番,未定,"500,000",,,,
裏切られたSランク冒険者の俺は、愛する奴隷の彼女らと共に奴隷だけのハーレムギルドを作る,未定,"500,000",,,,
100人の英雄を育てた最強預言者は、冒険者になっても世界中の弟子から慕われてます,未定,"500,000",,,,
オーダーは探偵に,未定,"500,000",,,,
どうやら私の身体は完全無敵のようですね,未定,"500,000",,,,
最後の医者は桜を見上げて君を想う,未定,"500,000",,,,
剣士を目指して入学したのに魔法適性9999なんですけど!?,未定,"500,000",,,,
か「」く「」し「」ご「」と「,未定,"500,000",,,,
青くて痛くて脆い,未定,"500,000",,,,
異世界で『黒の癒し手』って呼ばれています,未定,"500,000",,,,
魔王の始め方,未定,"500,000",,,,
桜花忍法帖　バジリスク,1期放送済,"500,000",,,,
最強の職業は勇者でも賢者でもなく鑑定士（仮）らしいですよ？,未定,"500,000",,,,
裏世界ピクニック,1期放送済,"500,000",,,,
5人の王,未定,"500,000",,,,
レジェンド,未定,"500,000",45,,,
公爵令嬢の嗜み,未定,"500,000",37,,,
世界の終わりの世界録,未定,"500,000",,,,
自称Fランクのお兄さまがゲームで評価される学園の頂点に君臨するそうですよ？,未定,"500,000",,,,
白の皇国物語,未定,"500,000",,,,
元最強の剣士は、異世界魔法に憧れる,未定,"500,000",,,,
友達の妹が俺にだけウザい,1期決定（放送日未定）,"500,000",,,,
覇剣の皇姫アルティーナ,未定,"500,000",,,,
異能バトルは日常系のなかで,1期放送済,"500,000",,,,
スーパーカブ,1期放送済,"500,000",,,,
田中～年齢イコール彼女いない歴の魔法使い～,未定,"500,000",,,,
メイドから母になりました,未定,"490,000",,,,
絶対に働きたくないダンジョンマスターが惰眠をむさぼるまで,未定,"460,000",104,,,
【修復】スキルが万能チート化したので、武器屋でも開こうかと思います,未定,"460,000",280,,,
一億年ボタンを連打した俺は、気付いたら最強になっていた～落第剣士の学院無双～,未定,"450,000",26,,,
冒険家になろう！スキルボードでダンジョン攻略,未定,"450,000",193,,,
妃教育から逃げたい私,未定,"450,000",,,,
JKハルは異世界で娼婦になった,未定,"450,000",,,,
今日から俺はロリのヒモ！,未定,"450,000",,,,
＜Infinite Dendrogram＞-インフィニット・デンドログラム-,1期放送済,"440,000",159,,,
戦慄の魔術師と五帝獣,未定,"440,000",,,,
マグダラで眠れ,未定,"430,000",,,,
生活魔術師シリーズ,未定,"420,000",,,,
コンビニたそがれ堂,未定,"420,000",,,,
蛟堂報復録,未定,"410,000",,,,
不遇職とバカにされましたが、実際はそれほど悪くありません？,未定,"410,000",,,,
転生王女は今日も旗を叩き折る。,未定,"400,000",58,,,
転生幼女はあきらめない,未定,"400,000",142,,,
アラフォー男の異世界通販生活,未定,"400,000",237,,,
今夜、世界からこの恋が消えても,未定,"400,000",,,,
奴隷転生　～その奴隷、最強の元王子につき～,未定,"400,000",,,,
ガベージブレイブ　【異世界に召喚され捨てられた勇者の復讐物語】,未定,"400,000",,,,
悪役令嬢、セシリア・シルビィは死にたくないので男装することにした。,未定,"400,000",,,,
魔道祖師,2期放送済,"400,000",,,,
パーティーから追放されたその治癒師、実は最強につき,2024年10月,"400,000",,,,
ガチャを回して仲間を増やす　最強の美少女軍団を作り上げろ,未定,"400,000",,,,
君に恋をするなんて、ありえないはずだった,未定,"400,000",,,,
追い出された万能職に新しい人生が始まりました,未定,"400,000",,,,
最後の秘境 東京藝大 天才たちのカオスな日常,未定,"400,000",,,,
最強の種族が人間だった件,未定,"400,000",,,,
金椛国春秋シリーズ,未定,"400,000",,,,
お待ちしてます　下町和菓子 栗丸堂,未定,"400,000",,,,
VIPシリーズ,未定,"400,000",,,,
グランクレスト戦記,1期放送済,"400,000",,,,
厨病激発ボーイ,1期放送済,"400,000",,,,
「夜が明けたら、いちばんに君に会いにいく」シリーズ,未定,"400,000",,,,
平兵士は過去を夢見る,未定,"400,000",,,,
駆除人,未定,"400,000",136,,,
人狼への転生、魔王の副官,未定,"400,000",88,,,
処刑少女の生きる道,1期放送済,"400,000",,,,
サイレント・ウィッチ,未定,"400,000",157,,,
交換ウソ日記,未定,"390,000",,,,
ゆるふわ農家の文字化けスキル,未定,"380,000",,,,
博多豚骨ラーメンズ,1期放送済,"370,000",,,,
落ちこぼれ[☆1]魔法使いは、今日も無意識にチートを使う,未定,"370,000",,,,
訳あり悪役令嬢は、婚約破棄後の人生を自由に生きる,未定,"360,000",,,,
邪竜転生,未定,"360,000",,,,
令嬢はまったりをご所望。,未定,"360,000",,,,
俺と蛙さんの異世界放浪記,未定,"360,000",,,,
世界最強の後衛　～迷宮国の新人探索者～,未定,"350,000",184,,,
不遇職『鍛冶師』だけど最強です　～気づけば何でも作れるようになっていた男ののんびりスローライフ～,未定,"350,000",217,,,
クロの戦記　異世界転移した僕が最強なのはベッドの上だけのようです,未定,"350,000",238,,,
弱気MAX令嬢なのに、辣腕婚約者様の賭けに乗ってしまった,未定,"350,000",269,,,
拝啓『氷の騎士とはずれ姫』だったわたしたちへ,未定,"350,000",283,,,
二度と家には帰りません！,未定,"350,000",,,,
王立魔法学園の最下生　～貧困街上がりの最強魔法師、貴族だらけの学園で無双する～,未定,"350,000",,,,
美しい彼,未定,"350,000",,,,
余命3000文字,未定,"350,000",,,,
天国までの49日間,未定,"350,000",,,,
起きたら20年後なんですけど！　～悪役令嬢のその後のその後～,未定,"350,000",,,,
遺跡発掘師は笑わない,未定,"350,000",,,,
記憶屋,未定,"350,000",,,,
小説 千本桜,未定,"350,000",,,,
Eランクの薬師,未定,"350,000",,,,
悪役令嬢の兄に転生しました,未定,"350,000",232,,,
メイデーア転生物語,未定,"340,000",,,,
元構造解析研究者の異世界冒険譚,未定,"340,000",,,,
天使の3P!,1期放送済,"340,000",,,,
ダンジョン暮らしの元勇者,未定,"310,000",,,,
復讐を誓った白猫は竜王の膝の上で惰眠をむさぼる,未定,"300,000",128,,,
元、落ちこぼれ公爵令嬢です。,未定,"300,000",133,,,
ずたぼろ令嬢は姉の元婚約者に溺愛される,未定,"300,000",185,,,
不遇職【鑑定士】が実は最強だった　～奈落で鍛えた最強の【神眼】で無双する～,未定,"300,000",,,,
西野　～学内カースト最下位にして異能世界最強の少年～,未定,"300,000",,,,
北欧貴族と猛禽妻の雪国狩り暮らし,未定,"300,000",,,,
リアリスト魔王による聖域なき異世界改革,未定,"300,000",,,,
むかしむかしあるところに、死体がありました。,未定,"300,000",,,,
あの花が咲く丘で、君とまた出会えたら。,未定,"300,000",,,,
ちょっぴり年上でも彼女にしてくれますか？,未定,"300,000",,,,
せっかくチートを貰って異世界に転移したんだから、好きなように生きてみたい,未定,"300,000",,,,
活版印刷三日月堂,未定,"300,000",,,,
さよならピアノソナタ,未定,"300,000",,,,
Free Life Fantasy Online　～人外姫様、始めました～,未定,"300,000",,,,
黒の創造召喚師,未定,"300,000",,,,
ゆきうさぎのお品書き,未定,"300,000",,,,
神眼の勇者,未定,"300,000",,,,
生き残り錬金術師は街で静かに暮らしたい,未定,"300,000",89,,,
錆喰いビスコ,1期放送済,"300,000",,,,
転生令嬢は精霊に愛されて最強です……だけど普通に恋したい！,未定,"300,000",,,,
異世界から聖女が来るようなので、邪魔者は消えようと思います,未定,"290,000",,,,
アルゲートオンライン　～侍が参る異世界道中～,未定,"290,000",,,,
地方騎士ハンスの受難,未定,"290,000",,,,
追放悪役令嬢の旦那様,未定,"280,000",,,,
鬼人幻燈抄,1期決定（放送日未定）,"280,000",,,,
聖女になるので二度目の人生は勝手にさせてもらいます　～王太子は、前世で私を振った恋人でした～,未定,"280,000",,,,
神様に加護2人分貰いました,未定,"270,000",,,,
死に戻り、全てを救うために最強へと至る,未定,"270,000",,,,
ヤンキーは異世界で精霊に愛されます。,未定,"270,000",,,,
絶対城先輩の妖怪学講座,未定,"260,000",,,,
神官シリーズ,未定,"260,000",,,,
勘違いの工房主　英雄パーティの元雑用係が、実は戦闘以外がSSSランクだったというよくある話,未定,"260,000",,,,
ネタキャラ仮プレイのつもりが異世界召喚　～迷い人は女性の敵に認定されました～,未定,"260,000",,,,
異世界帰りの勇者が現代最強！,未定,"260,000",,,,
ダィテス領攻防記,未定,"260,000",,,,
二度転生した少年はＳランク冒険者として平穏に過ごす　～前世が賢者で英雄だったボクは来世では地味に生きる～,未定,"250,000",131,,,
辺境の老騎士,未定,"250,000",199,,,
白豚貴族だったどうしようもない私に前世の記憶が生えた件 ,未定,"250,000",254,,,
痴漢されそうになっているS級美少女を助けたら隣の席の幼馴染だった,未定,"250,000",,,,
遊び人は賢者に転職できるって知ってました？　～勇者パーティを追放されたLv99道化師、【大賢者】になる～,未定,"250,000",,,,
娘じゃなくて私が好きなの!?,未定,"250,000",,,,
暴食妃の剣,未定,"250,000",,,,
生きてさえいれば,未定,"250,000",,,,
十三歳の誕生日、皇后になりました。,未定,"250,000",,,,
満月珈琲店の星詠み,未定,"250,000",,,,
「冬」シリーズ,未定,"250,000",,,,
夜に駆ける YOASOBI小説集,未定,"250,000",,,,
魔法使いで引きこもり？,未定,"250,000",,,,
出雲のあやかしホテルに就職します,未定,"250,000",,,,
おいしいベランダ。,未定,"250,000",,,,
レディローズは平民になりたい,未定,"250,000",,,,
被虐のノエル,未定,"250,000",,,,
天才王子の赤字国家再生術　～そうだ、売国しよう～,1期放送済,"250,000",,,,
Bグループの少年,未定,"250,000",,,,
僕は何度でも、きみに初めての恋をする。,未定,"250,000",,,,
後宮の花は偽りをまとう,未定,"250,000",,,,
東京すみっこごはん,未定,"250,000",,,,
弁当屋さんのおもてなし,未定,"250,000",,,,
一華後宮料理帖,未定,"250,000",,,,
豚のレバーは加熱しろ,1期決定（放送日未定）,"250,000",,,,
鬼の花嫁,未定,"240,000",,,,
勇者様の幼馴染という職業の負けヒロインに転生したので、調合師にジョブチェンジします。,未定,"240,000",,,,
京都伏見のあやかし甘味帖,未定,"240,000",,,,
異世界拷問姫,未定,"240,000",,,,
いい加減な夜食,未定,"240,000",,,,
もふもふと異世界でスローライフを目指します！,未定,"240,000",,,,
ネメシス,未定,"230,000",,,,
転生吸血鬼さんはお昼寝がしたい,未定,"230,000",,,,
超越者となったおっさんはマイペースに異世界を散策する,未定,"230,000",,,,
装備製作系チートで異世界を自由に生きていきます,未定,"220,000",,,,
幻想古書店で珈琲を,未定,"220,000",,,,
初期スキルが便利すぎて異世界生活が楽しすぎる！,未定,"220,000",,,,
屋上のテロリスト,未定,"220,000",,,,
三日間の幸福,未定,"220,000",,,,
京都府警あやかし課の事件簿,未定,"220,000",,,,
いつか、眠りにつく日,未定,"210,000",,,,
極道さんシリーズ,未定,"210,000",,,,
悪役令嬢、ブラコンにジョブチェンジします,未定,"200,000",96,,,
味方が弱すぎて補助魔法に徹していた宮廷魔法師、追放されて最強を目指す,未定,"200,000",140,,,
異世界の貧乏農家に転生したので、レンガを作って城を建てることにしました,未定,"200,000",177,,,
新しいゲーム始めました。～使命もないのに最強です？～,未定,"200,000",200,,,
異世界に落とされた…,未定,"200,000",253,,,
冒険者をクビになったので、錬金術師として出直します！　〜辺境開拓？　よし、俺に任せとけ！,未定,"200,000",265,,,
悪役令嬢の役割は終えました,未定,"200,000",,,,
めっちゃ召喚された件,未定,"200,000",,,,
異世界チート開拓記,未定,"200,000",,,,
呪いの魔剣で高負荷トレーニング!?　～知られちゃいけない仮面の冒険者～,未定,"200,000",,,,
ブラックな騎士団の奴隷がホワイトな冒険者ギルドに引き抜かれてSランクになりました,未定,"200,000",,,,
わたしが恋人になれるわけないじゃん、ムリムリ！（※ムリじゃなかった!?）,未定,"200,000",,,,
再召喚された勇者は一般人として生きていく？,未定,"200,000",,,,
君が落とした青空,未定,"200,000",,,,
昔勇者で今は骨,未定,"200,000",,,,
悪役令嬢ですが攻略対象の様子が異常すぎる,未定,"200,000",,,,
王女殿下はお怒りのようです,未定,"200,000",,,,
レベル1の最強賢者　～呪いで最下級魔法しか使えないけど、神の勘違いで無限の魔力を手に入れ最強に～,未定,"200,000",,,,
総長さま、溺愛中につき長さま,未定,"200,000",,,,
王都の学園に強制連行された最強のドラゴンライダーは超が付くほど田舎者,未定,"200,000",,,,
捨てられた転生賢者　～魔物の森で最強の大魔帝国を作り上げる～,未定,"200,000",,,,
神様たちのお伊勢参り,未定,"200,000",,,,
時給三〇〇円の死神,未定,"200,000",,,,
異世界で手に入れた生産スキルは最強だったようです。　～創造＆器用のWチートで無双する～,未定,"200,000",,,,
異世界でも無難に生きたい症候群,未定,"200,000",,,,
キミと僕の最後の戦場、あるいは世界が始まる聖戦,2期決定（2023年）,"200,000",,,,
鳥居の向こうは、知らない世界でした。,未定,"200,000",,,,
最強の黒騎士、戦闘メイドに転職しました,未定,"200,000",,,,
異世界で失敗しない100の方法,未定,"200,000",,,,
春日坂高校漫画研究部,未定,"200,000",,,,
よるのばけもの,未定,"200,000",,,,
Bad∞End∞Night,未定,"200,000",,,,
桜ノ雨,未定,"200,000",,,,
俺の『鑑定』スキルがチートすぎて　～伝説の勇者を読み〝盗り〟最強へ～,未定,"200,000",,,,
魔剣師の魔剣による魔剣のためのハーレムライフ,未定,"200,000",,,,
鍛冶師ですが何か！,未定,"200,000",,,,
男女の友情は成立する？（いや、しないっ!!）,1期決定（放送日未定）,"200,000",,,,
水属性の魔法使い,未定,"200,000",65,,,
俺はまだ、本気を出していない,未定,"200,000",248,,,
巻き込まれて異世界転移する奴は、大抵チート,未定,"200,000",,,,
三角の距離は限りないゼロ,未定,"200,000",,,,
文句の付けようがないラブコメ,未定,"200,000",,,,
千歳くんはラムネ瓶のなか,未定,"200,000",,,,
奪う者　奪われる者,未定,"200,000",156,,,
教え子に脅迫されるのは犯罪ですか？,未定,"200,000",,,,
コップクラフト,1期放送済,"200,000",,,,
異世界転生に感謝を,未定,"200,000",,,,
異世界を制御魔法で切り開け！,未定,"190,000",,,,
前世は剣帝。今生クズ王子,未定,"190,000",,,,
神に愛された子,未定,"190,000",,,,
桜風堂ものがたり,未定,"180,000",,,,
『僕愛』『君愛』,未定,"180,000",,,,
契約結婚はじめました。　～椿屋敷の偽夫婦～,未定,"180,000",,,,
スピリット・マイグレーション,未定,"180,000",,,,
針子の乙女,未定,"170,000",209,,,
一瞬を生きる君を、僕は永遠に忘れない。,未定,"170,000",,,,
異世界で幼女化したので養女になったり書記官になったりします,未定,"170,000",,,,
ダンジョンシーカー,未定,"170,000",,,,
Bの戦場,未定,"170,000",,,,
崩れる脳を抱きしめて,未定,"160,000",,,,
剣聖の幼馴染がパワハラで俺につらく当たるので、絶縁して辺境で魔剣士として出直すことにした。,未定,"150,000",135,,,
リアデイルの大地にて,1期放送済,"150,000",147,,,
逆行した悪役令嬢は、なぜか魔力を失ったので深窓の令嬢になります,未定,"150,000",207,,,
神の手違いで死んだらチートガン積みで異世界に放り込まれました,未定,"150,000",,,,
無人島でエルフと共同生活,未定,"150,000",,,,
「お前ごときが魔王に勝てると思うな」と勇者パーティを追放されたので、王都で気ままに暮らしたい,未定,"150,000",,,,
記憶喪失の君と、君だけを忘れてしまった僕。,未定,"150,000",,,,
悪役令嬢は夜告鳥をめざす,未定,"150,000",,,,
コンビニ兄弟―テンダネス門司港こがね村店―,未定,"150,000",,,,
忌み子と呼ばれた召喚士,未定,"150,000",,,,
青薔薇姫のやりなおし革命記,未定,"150,000",,,,
レフトハンド・ブラザーフッド,未定,"150,000",,,,
冰剣の魔術師が世界を統べる,1期決定（2023年1月）,"150,000",,,,
死神シリーズ,未定,"150,000",,,,
さよならの言い方なんて知らない。,未定,"150,000",,,,
復讐を希う最強勇者は、闇の力で殲滅無双する,未定,"150,000",,,,
セーブ＆ロードのできる宿屋さん　～カンスト転生者が宿屋で新人育成を始めたようです～,未定,"150,000",,,,
「どこ君」＆「また君」,未定,"150,000",,,,
今度こそ幸せになります！,未定,"150,000",,,,
フリーライフ　～異世界何でも屋奮闘記～,未定,"150,000",,,,
カット＆ペーストでこの世界を生きていく,未定,"150,000",,,,
エクスタス・オンライン,未定,"150,000",,,,
僕は君を殺せない,未定,"150,000",,,,
異世界黙示録マイノグーラ　～破滅の文明で始める世界征服～,未定,"140,000",,,,
美少女になったけど、ネトゲ廃人やってます。,未定,"140,000",,,,
ロメリア戦記　～魔王を倒した後も人類やばそうだから軍隊組織した～,未定,"130,000",,,,
どうしても破滅したくない悪役令嬢が現代兵器を手にした結果がこれです,未定,"130,000",,,,
辺境ぐらしの魔王、転生して最強の魔術師になる,未定,"130,000",,,,
魔界帰りの劣等能力者,未定,"130,000",,,,
クラスが異世界召喚されたなか俺だけ残ったんですが,未定,"130,000",,,,
巻き込まれ召喚!?　そして私は『神』でした??,未定,"130,000",,,,
お人好し職人のぶらり異世界旅,未定,"130,000",,,,
追い出されたら、何かと上手くいきまして,未定,"120,000",,,,
大自然の魔法師アシュト、廃れた領地でスローライフ,未定,"120,000",,,,
余命一年と宣告された僕が、余命半年の君と出会った話,未定,"120,000",,,,
没落令嬢の異国結婚録,未定,"120,000",,,,
冒険に、ついてこないでお母さん！　～超過保護な最強ドラゴンに育てられた息子、母親同伴で冒険者になる～,未定,"120,000",,,,
理想の娘なら世界最強でも可愛がってくれますか？,未定,"120,000",,,,
こいつらの正体が女だと俺だけが知っている,未定,"120,000",,,,
神のダイスを見上げて,未定,"110,000",,,,
死香探偵,未定,"110,000",,,,
レベル596の鍛冶見習い,未定,"110,000",,,,
詰みかけ転生領主の改革,未定,"100,000",151,,,
悪役令嬢後宮物語,未定,"100,000",267,,,
しあわせ食堂の異世界ご飯,未定,"100,000",,,,
後宮の検屍女官,未定,"100,000",,,,
カノジョに浮気されていた俺が、小悪魔な後輩に懐かれています,未定,"100,000",,,,
姉が剣聖で妹が賢者で,未定,"100,000",,,,
元公爵令嬢の就職,未定,"100,000",,,,
龍に恋う　贄の乙女の幸福な身の上,未定,"100,000",,,,
オペラ座の恋人,未定,"100,000",,,,
クラスの大嫌いな女子と結婚することになった。,未定,"100,000",,,,
隣の席になった美少女が惚れさせようとからかってくるがいつの間にか返り討ちにしていた,未定,"100,000",,,,
劣等人の魔剣使い　スキルボードを駆使して最強に至る,未定,"100,000",,,,
人間不信の冒険者たちが世界を救うようです,1期決定（2023年冬）,"100,000",,,,
声優ラジオのウラオモテ,未定,"100,000",,,,
平安あや解き草紙,未定,"100,000",,,,
よろず建物因縁帳,未定,"100,000",,,,
数字で救う！　弱小国家,未定,"100,000",,,,
ライアー・ライアー,1期決定（放送日未定）,"100,000",,,,
この空の上で、いつまでも君を待っている,未定,"100,000",,,,
