作品名,アニメ情報,現在部数,なろうランク,出版社,ステータス,メモ
桜蘭高校ホスト部,1期放送済,"13,000,000",,白泉社,,
ピーチガール,1期放送済,"13,000,000",,講談社,,
エリアの騎士,1期放送済,"13,000,000",,講談社,,
DAYS ,1期放送済,"13,000,000",,講談社,,
監獄学園,1期放送済,"13,000,000",,講談社,,
十二国記,1期放送済,"12,800,000",,新潮社,,
まじかる☆タルるートくん,1期放送済,"12,600,000",,集英社,,
ベイビーステップ,2期放送済,"12,600,000",,講談社,,
魔術士オーフェン,3期決定(2023年1月),"12,000,000",,富士見書房,,
ぬらりひょんの孫,2期放送済,"12,000,000",,集英社,,
ニセコイ,2期放送済,"12,000,000",,集英社,,
BLACK CAT,1期放送済,"12,000,000",,集英社,,
サイコメトラーEIJI,未定,"12,000,000",,講談社,,
ポケットモンスタースペシャル,未定,"12,000,000",,小学館,,
僕等がいた,1期放送済,"12,000,000",,小学館,,
BANANA FISH,1期放送済,"12,000,000",,小学館,,
キャンディキャンディ,1期放送済,"12,000,000",,講談社,,
ヲタクに恋は難しい,1期放送済,"12,000,000",,一迅社,,
ギャングキング,未定,"12,000,000",,秋田書店,,
終わりのセラフ,2期放送済,"15,000,000",,集英社,,
あたしンち ベスト,未定,"12,000,000",,メディアファクトリー,,
L・DK,未定,"11,550,000",,講談社,,
フルメタル・パニック！,4期放送済,"11,500,000",,富士見書房,,
人間交差点,1期放送済,"11,000,000",,小学館,,
サーキットの狼,未定,"11,000,000",,集英社,,
悪魔の花嫁,未定,"11,000,000",,秋田書店,,
彼氏彼女の事情,1期放送済,"11,000,000",,白泉社,,
からかい上手の高木さん,3期放送済,"11,000,000",,小学館,,
銀牙 -流れ星 銀-,1期放送済,"10,000,000",,集英社,,
ハイスクール!奇面組,1期放送済,"10,000,000",,集英社,,
モンキーターン,2期放送済,"10,000,000",,小学館,,
やはり俺の青春ラブコメはまちがっている。,3期放送済,"10,000,000",,小学館,,
ロードス島戦記,2期放送済,"10,000,000",,角川書店,,
フォーチュン・クエスト,1期放送済,"10,000,000",,角川書店,,
ママレード・ボーイ,1期放送済,"10,000,000",,集英社,,
センゴク,未定,"10,000,000",,講談社,,
はだしのゲン,2期放送済,"10,000,000",,中央公論新社,,
おそ松くん,3期放送済,"10,000,000",,小学館,,
ライフ,未定,"10,000,000",,講談社,,
高校鉄拳伝タフ,未定,"10,000,000",,集英社,,
史上最強の弟子ケンイチ,1期放送済,"10,000,000",,小学館,,
サイボーグ009,3期放送済,"10,000,000",,秋田書店,,
天使なんかじゃない,1期放送済,"10,000,000",,集英社,,
咲 -Saki-,3期放送済,"10,000,000",,スクウェア・エニックス,,
機動警察パトレイバー,1期放送済,"10,000,000",,小学館,,
彼岸島,1期放送済,"10,000,000",,講談社,,
機動戦士ガンダムTHEORIGIN,1期放送済,"10,000,000",,角川書店,,
彼女、お借りします,3期決定(放送日未定),"10,000,000",,講談社,,
星のカービィ まんぷくプププ ファンタジー,未定,"10,000,000",,小学館,,
クロスオーバーレブ!,未定,"10,000,000",,講談社,,
SPRIGGAN,1期放送済,"10,000,000",,小学館,,
魔入りました!入間くん,1期放送中,"10,000,000",,秋田書店,,
ブルーロック,1期放送中,"10,000,000",,講談社,,
嘘喰い,未定,"10,000,000",,集英社,,
本好きの下剋上,3期放送済,"10,000,000",11,TOブックス,,
幼女戦記,2期決定（放送日未定）,"9,500,000",,KADOKAWA,,
ブラックラグーン,,"9,000,000",,小学館,,
カゲロウデイズ,1期放送済,"9,000,000",,KADOKAWA,,
灼眼のシャナ,3期放送済,"8,600,000",,電撃文庫,,
キノの旅,1期放送済,"8,200,000",,角川文庫,,
アルスラーン戦記,2期放送済,"8,000,000",,講談社,,
ハイスクールD×D,4期放送済,"7,800,000",,富士見ファンタジア文庫,,
賢者の孫,1期放送済,"7,800,000",39,MF文庫J,,
恋空,未定,"7,300,000",,MF文庫J,,
バカとテストと召喚獣,2期放送済,"7,300,000",,富士見ファンタジア文庫,,
賭ケグルイ!,,"7,000,000",,スクウェア・エニックス,,
とんでもスキルで異世界放浪メシ,未定,"7,000,000",3,ヒーロー文庫,,
ビブリア古書堂の事件手帖,未定,"7,000,000",,富士見ファンタジア文庫,,
心霊探偵八雲,1期放送済,"7,000,000",,MF文庫J,,
僕は友達が少ない,2期放送済,"7,000,000",,MF文庫J,,
ゼロの使い魔,2期放送済,"6,800,000",,MF文庫J,,
彩雲国物語,2期放送済,"6,500,000",,富士見ファンタジア文庫,,
図書館戦争,1期放送済,"6,400,000",,角川書店,,
異世界居酒屋「のぶ」,2期決定(放送日未定),"6,300,000",179,小学館ラノベ文庫,,
ゲート　自衛隊 彼の地にて、斯く戦えり,2期放送済,"6,300,000",,アルファポリス,,
ホリミヤ,,"6,000,000",,スクウェア・エニックス,,
ノーゲーム・ノーライフ,1期放送済,"6,000,000",,MF文庫J,,
生徒会シリーズ,2期放送済,"6,000,000",,富士見ファンタジア文庫,,
乙女ゲームの破滅フラグしかない悪役令嬢に転生してしまった…,2期放送済,"6,000,000",51,富士見ファンタジア文庫,,
破妖の剣,未定,"6,000,000",,富士見ファンタジア文庫,,
デュラララ!!,2期放送済,"5,600,000",,電撃文庫,,
少年陰陽師シリーズ,1期放送済,"5,500,000",,集英社文庫,,
おいしいコーヒーのいれ方,未定,"5,450,000",,富士見ファンタジア文庫,,
俺の妹がこんなに可愛いわけがない,2期放送済,"5,200,000",,電撃文庫,,
ありふれた職業で世界最強,3期決定(放送日未定),"5,000,000",4,GA文庫,,
